dataset,method,dimensions,log,calinski-harabaz,davies-bouldin,dunn-index,silhouette-score
koh,pca,5,0,84.69663571210984,3.4658979352206947,0.12076704222637458,-0.057887938
koh,pca,10,0,82.79413033385381,2.775255781171894,0.22132381506027843,-0.02871631
koh,pca,25,0,79.57676628312954,2.708331011573017,0.23314259626563155,-0.010251794
koh,pca,100,0,73.59873392671578,2.8179673827937233,0.22787505413967163,-0.012110757
koh,pca,250,0,70.16461777135288,2.9815891778894597,0.220869953309816,-0.017809754
koh,pca,500,0,68.574666900017,3.109149624327509,0.22022347788416385,-0.020874
koh,pca,50,0,76.64083911122654,2.7399086575143543,0.23391284247848054,-0.0068398025
koh,pca,5,1,304.91720082576853,1.0893521474393575,0.8043899696946367,0.38558528
koh,pca,10,1,243.44161680403477,0.909722178678692,1.2580485718254022,0.46008113
koh,pca,25,1,113.43274636791197,1.3487833505887765,0.7568760242473006,0.3214116
koh,pca,50,1,63.225037338364096,1.798462532475078,0.5786846326595607,0.21670403
koh,pca,100,1,36.036110901522214,2.438010849718435,0.4621335995923897,0.11580497
koh,pca,250,1,16.77642319703902,3.669236089425912,0.35690139632900325,0.011603065
koh,pca,500,1,10.053586386233219,4.829533798832785,0.31593454681898997,-0.00082650874
koh,fica,10,0,35.018806521663926,1.9877984494505228,0.2994723797327332,0.033006392
koh,fica,25,0,18.733889220099325,2.780563705368305,0.36162582633729917,0.103558846
koh,fica,100,0,4.93999772364689,5.984952131948107,0.19061107046357412,-0.05852856
koh,fica,250,0,2.053115393290009,8.708066437253443,0.1588620173284805,-0.14377443
koh,fica,500,0,1.0571473195390575,11.196610954479825,0.16019239820128817,-0.05875254
koh,fica,1000,0,3.9542083814691926,10.521744105112246,0.15266806638979538,-0.0036574746
koh,fica,2500,0,3.95420857357098,10.52174412103388,0.15266806601444433,-0.003657501
koh,fica,5000,0,1.5726127508185204,11.109952665667699,0.15881375243926185,-0.0010446458
koh,fica,10000,0,3.9542085905351025,10.521744009030135,0.15266805076683293,-0.003657502
koh,fica,15000,0,3.954208493543304,10.521743538744978,0.15266804948215487,-0.0036574933
koh,fica,5,0,40.42969937684576,2.573765559608093,0.2621055637212006,-0.031538725
koh,fica,50,0,9.800348574893068,4.1748309787626585,0.25293750945773497,0.029664472
koh,fica,5,1,279.36686625989256,0.9340070339218711,1.270654622521156,0.40968513
koh,fica,10,1,159.69490273825048,0.8882514292295788,1.7644907907564116,0.48283017
koh,fica,25,1,27.97944778278959,2.456741637924769,0.5507682359194079,0.16265883
koh,fica,50,1,11.655341505274023,3.721490286958046,0.368679396287242,0.042388055
koh,fica,100,1,5.4142116796478525,5.37397211226445,0.2641069133208569,-0.055279553
koh,fica,250,1,2.1013979439180774,8.327419742368456,0.1822313932052124,-0.12202912
koh,fica,1000,1,1.0477335534811214,11.274930465235938,0.1626652113621835,-6.302625e-05
koh,fica,2500,1,1.0477335749322778,11.274930462581416,0.16266520934182171,-6.3017855e-05
koh,fica,5000,1,1.0477335545781632,11.274930447816152,0.1626652117284384,-6.3028005e-05
koh,fica,10000,1,1.0477336249780793,11.274930356579937,0.16266521176568455,-6.3035935e-05
koh,fica,15000,1,1.0477336990049235,11.274930384086524,0.16266521112620885,-6.302578e-05
koh,spectral,10,0,28.151450176299228,3.4471340895996003,0.3634722838692331,0.05810482
koh,spectral,25,0,14.501127109835213,3.466435139480358,0.30238589593745685,0.042739544
koh,spectral,100,0,3.9855768691381406,5.821414006583199,0.22104190860888187,-0.057562105
koh,spectral,250,0,1.8523651752087504,8.391375557293905,0.16702430761390782,-0.03561259
koh,spectral,500,0,1.043494148776511,11.052282365260593,0.13040148267470877,-0.05090636
koh,spectral,5,0,41.49967715175365,5.254135636470618,0.22428005264887865,-0.005535144
koh,spectral,50,0,7.704653440588003,4.172084235918097,0.31301206073412957,-0.0070377868
koh,spectral,5,1,310.8156605191143,1.0306223837885151,0.6083654477644653,0.39417365
koh,spectral,10,1,99.63325135160785,1.1324079321950853,1.291036932149413,0.3757958
koh,spectral,25,1,21.321625043040676,2.4304104211482973,0.5853042629180502,0.08049041
koh,spectral,50,1,8.990616241831217,3.7995818810173825,0.379154190896795,-0.05479239
koh,spectral,100,1,4.236736176846578,5.590210700559441,0.2608373801434724,-0.09286696
koh,spectral,250,1,1.648204572167523,8.886036717830782,0.17317536469354625,-0.090599075
koh,spectral,500,1,0.90327990745902,12.071835593782096,0.13263711606567216,-0.08071445
koh,isomap,10,0,104.53595670065262,2.930593462467482,0.2832237941760951,0.039045308
koh,isomap,25,0,89.09836082698314,3.0897056432443626,0.2720867184381514,0.04365117
koh,isomap,100,0,74.90585240809516,3.434094028860674,0.26131251193576255,0.026677007
koh,isomap,250,0,71.04465343081343,3.5794009685220214,0.25838219729096784,0.019927923
koh,isomap,5,0,119.20143719289207,3.017839665963015,0.2710839833668792,0.021073116
koh,isomap,50,0,80.89589060459629,3.254869705466939,0.26691467240683053,0.035169095
koh,isomap,5,1,149.31668510525034,2.5473131638860753,0.39340248652913035,0.10627893
koh,isomap,10,1,107.0702496843005,2.452908448066911,0.3510018839379865,0.13085327
koh,isomap,25,1,75.17387674554537,2.7789625554898993,0.31307002479436646,0.09205156
koh,isomap,50,1,59.969648352271506,3.0030093471209813,0.2975435349774983,0.066862576
koh,isomap,100,1,49.01780123483317,3.310044153064267,0.2815450026528955,0.043793272
koh,isomap,250,1,37.97435132769659,3.8448997116534653,0.274337521291936,0.030696204
koh,umap,25,0,200.28940072555656,3.155812195713397,0.3217986299275363,0.025943136
koh,umap,10,0,188.53570442111328,3.2620776497792874,0.31939621101585497,0.025149297
koh,umap,100,0,186.5438810188195,3.2190255032308923,0.3583451741609585,0.018367074
koh,umap,250,0,205.49725080809344,3.230793512260705,0.3534265594279921,0.021439971
koh,umap,500,0,198.33566554752716,3.2918345081357887,0.3080211316463904,0.027121643
koh,umap,5,0,199.46958120133039,3.203203185039622,0.381935709362524,0.021388907
koh,umap,50,0,197.479938280412,3.2187756903628633,0.30659245020502485,0.032024853
koh,umap,5,1,568.3578887475476,1.1849865698415314,0.6474405433200023,0.39622623
koh,umap,10,1,537.7647410109262,1.2062598440086703,0.6302685192279682,0.39949504
koh,umap,25,1,539.2505235045289,1.2126930913005012,0.6130180577013561,0.4009404
koh,umap,50,1,533.52988107853,1.1969045292148768,0.6404630464627937,0.40136597
koh,umap,100,1,522.4868911630243,1.2070508083313995,0.6399815569000288,0.39607316
koh,umap,250,1,540.2745706994488,1.2329703926681925,0.6358042778536279,0.40003344
koh,umap,500,1,551.0387395170151,1.2128588159406217,0.6057613306608224,0.40157938
koh,lle,10,0,27.55218114723939,3.7632079747800926,0.2658966071938417,0.060741138
koh,lle,25,0,15.128807434973327,3.6955125885347666,0.3188401000866206,0.0342918
koh,lle,100,0,4.525044878998291,5.304208678716017,0.3084008330243713,0.008223909
koh,lle,250,0,1.9616165687108442,8.09354469687024,0.20891386535638654,-0.012449936
koh,lle,500,0,1.0535330412849675,11.14296054411204,0.16029997608554974,-0.014527785
koh,lle,5,0,65.35580039806923,3.1106310380439672,0.28806887712873125,0.008319122
koh,lle,50,0,8.344578873331344,4.023423674577112,0.4030749363807909,-0.0039803763
koh,lle,5,1,153.4493061751456,1.7346968702982102,0.48495042599777877,0.27431428
koh,lle,10,1,70.7764816506686,1.535157992957043,0.5586071554108313,0.27699205
koh,lle,25,1,19.394184210347113,2.7782198575695656,0.4320635148538438,0.091494106
koh,lle,50,1,9.00245694369353,3.7662745686231975,0.39411190320939904,0.0052093603
koh,lle,100,1,4.4510239594125425,5.164881909696863,0.308683802424679,-0.022256142
koh,lle,250,1,1.8591679058384036,8.63678094379163,0.20164846543709863,-0.030288039
koh,lle,500,1,1.0349821527420968,11.207033496668734,0.16137277015177526,-0.010414375
koh,mds,10,0,69.75148364711639,3.015681905318607,0.2388957392381911,-0.016837033
koh,mds,25,0,68.13873051425593,3.1070788420753255,0.22364449349903132,-0.021976938
koh,mds,100,0,67.1308527288366,3.2449554614258465,0.21280979471419648,-0.0267539
koh,mds,250,0,66.8819217420899,3.2793248515114635,0.21031059612921868,-0.028015194
koh,mds,500,0,66.86219117497625,3.2852897508507866,0.2099416421497166,-0.028364947
koh,mds,1000,0,66.76696682924756,3.2947150192481196,0.20942843296225308,-0.02869927
koh,mds,2500,0,66.73857039435488,3.2982450445728686,0.2092468667263389,-0.02885019
koh,mds,5000,0,66.7196905637029,3.3006937567394425,0.20931008377319668,-0.02889447
koh,mds,10000,0,66.71794025516503,3.3003567745367293,0.209164809999588,-0.02894461
koh,mds,15000,0,66.72102480764488,3.3012557269640137,0.2090909168208948,-0.028932119
koh,mds,5,0,72.0780361405606,3.230142328551863,0.20234293434886366,-0.031262558
koh,mds,50,0,67.51199349558631,3.1881295462563415,0.21541639189672598,-0.02447894
koh,mds,5,1,31.433410139624332,4.185477508911507,0.36375103270209047,0.006874045
koh,mds,10,1,22.33734474075769,4.2807682854679125,0.3580514172293726,0.022521041
koh,mds,25,1,14.722733420986174,4.808165349750297,0.3357085903259262,0.02157445
koh,mds,50,1,12.24250306448462,4.692575266645663,0.3291406431004964,0.017422665
koh,mds,100,1,10.677757963327991,4.944097505344116,0.314644532029554,0.013043934
koh,mds,250,1,9.62368347580148,5.237654157906535,0.2968678419541596,0.0091653755
koh,mds,500,1,9.247143105213635,5.381238418426534,0.289476522754786,0.0073984116
koh,mds,1000,1,9.158751310119651,5.380076780175206,0.2875074325987771,0.0070684063
koh,mds,2500,1,9.087917333078803,5.407204148678931,0.2825167948647944,0.0066683344
koh,mds,5000,1,9.067273955963246,5.426265036074952,0.28282613968709613,0.0065407474
koh,mds,10000,1,9.053846286419839,5.4237591155986555,0.282399343739532,0.0064636874
koh,mds,15000,1,9.059310563863464,5.416239885633518,0.28303626618054406,0.006535941
koh,fa,10,0,22.735659601680634,2.2332939201924176,0.23839625167189574,0.094993666
koh,fa,25,0,11.50936909726197,2.8283577113408285,0.15230758658852941,0.07810674
koh,fa,100,0,3.6592321767473845,6.4047042968594505,0.10092996883054771,-0.017854385
koh,fa,250,0,1.9186985821921365,8.518220741316517,0.15010309638318212,-0.1365915
koh,fa,1000,0,1.000000019618341,11.44844049892479,0.1599348370335347,-2.9760283e-08
koh,fa,500,0,1.0382268012677232,11.226444516432512,0.15937512748785346,-0.07853717
koh,fa,2500,0,1.0000000048521158,11.448440266791188,0.1599348402696557,-7.495181e-09
koh,fa,5000,0,1.000000011275729,11.44844057167696,0.1599348335335413,-2.7555819e-08
koh,fa,10000,0,0.9999999992142514,11.448440599093592,0.1599348374194889,-3.17443e-08
koh,fa,15000,0,0.9999999785856625,11.448440651012316,0.15993483560838295,-3.1523857e-08
koh,fa,5,0,25.905761819913828,4.078867488081972,0.04778505794283652,-0.016667744
koh,fa,50,0,6.7012915114303855,4.435562401299582,0.12217227125693399,0.023234272
koh,fa,5,1,96.53288218393821,1.6334583894070656,0.5434325302046112,0.21863039
koh,fa,10,1,79.90521227964045,1.0887651017518882,1.0231586729787085,0.3609959
koh,fa,25,1,24.917386249199406,2.1819417115441784,0.6395426681732185,0.17538676
koh,fa,50,1,10.698393328858051,3.583045245777496,0.3896254877639126,0.021043953
koh,fa,250,1,2.013740374729093,8.085965381851691,0.1759802453520825,-0.13073517
koh,fa,100,1,5.159199342496969,5.238625484161736,0.2584888147399191,-0.07983186
koh,fa,500,1,1.048220118523454,11.243861896622583,0.1599348490555103,-0.058888093
koh,fa,1000,1,0.9999999804685344,11.44844057020284,0.15993483574801173,-1.0140541e-08
koh,fa,2500,1,0.9999999804685344,11.44844057020284,0.15993483574801173,-1.0140541e-08
koh,fa,5000,1,0.9999999804685344,11.44844057020284,0.15993483574801173,-1.0140541e-08
koh,fa,10000,1,0.9999999804685344,11.44844057020284,0.15993483574801173,-1.0140541e-08
koh,fa,15000,1,0.9999999804685344,11.44844057020284,0.15993483574801173,-1.0140541e-08
kumar,isomap,10,0,774.6045629920226,0.4115226687886322,2.478369195536591,0.67581946
kumar,isomap,25,0,671.1895567265964,0.4460902751801059,2.1871237439131135,0.650187
kumar,isomap,100,0,611.7986066578881,0.4866425463855372,2.096724169764105,0.62486565
kumar,isomap,5,0,912.9279981681764,0.35923138584032027,2.702963886230813,0.7123708
kumar,isomap,50,0,628.3552390541694,0.4717640716561399,2.108902460851378,0.6341338
kumar,isomap,5,1,982.7856988136288,0.7215971344419407,1.6875615292368826,0.53611827
kumar,isomap,10,1,733.9262740170955,0.8728327375720341,1.4228073182823664,0.47696245
kumar,isomap,25,1,505.88508112344584,1.0232026192823866,1.1511226566056407,0.41041547
kumar,isomap,50,1,392.0916034270847,1.2100268996727908,1.026202396121469,0.35581332
kumar,isomap,100,1,308.25924982076924,1.3393278012500467,0.8271802471488715,0.3171315
kumar,pca,10,0,420.99268020063147,0.6277697833287395,1.7780786423475496,0.54851615
kumar,pca,25,0,393.033064095805,0.6448199402494725,1.6267998638626886,0.53580916
kumar,pca,100,0,370.6182224868753,0.6629323452896583,1.5257714866606082,0.52331775
kumar,pca,5,0,469.61676835315495,0.5911338544995218,1.9601217880550836,0.57167774
kumar,pca,50,0,377.84609689990924,0.6548616639800745,1.5516004731467121,0.528214
kumar,pca,5,1,786.6527095613874,0.4499548717973007,2.0718813639628553,0.6725071
kumar,pca,10,1,435.3608406562601,0.6042587276993152,1.4301194658037946,0.5778063
kumar,pca,25,1,208.7572564608435,0.8347841274072967,0.8881773713827632,0.46287277
kumar,pca,50,1,114.86319953827365,1.1532016745998253,0.6517005077763504,0.34634036
kumar,pca,100,1,63.81804822666013,1.6735426427960096,0.514268851786172,0.21848567
kumar,umap,10,0,2787.818230142101,0.2222437434143508,7.831697844290599,0.845718
kumar,umap,25,0,2892.189331414409,0.19803816637027052,8.443387013900672,0.8613512
kumar,umap,100,0,2497.4400887267675,0.24232818622376104,6.867887894450092,0.8299268
kumar,umap,5,0,2702.5825672922474,0.20111120927052947,8.830899349788499,0.8594896
kumar,umap,50,0,2541.381815865679,0.25340034254821986,6.439451290608901,0.8220154
kumar,umap,5,1,5126.093649723675,0.5575725191666907,2.0938333939844815,0.5945896
kumar,umap,10,1,4606.484914437472,0.5631353607092554,2.1258203657722015,0.59294635
kumar,umap,25,1,4655.56353827147,0.5694112808643684,2.0940169609205666,0.5894853
kumar,umap,50,1,4305.394064276518,0.5662625646486713,2.1339495526654013,0.5904957
kumar,umap,100,1,4681.146872792621,0.5721860656340395,1.9825824862070698,0.5868231
kumar,lle,10,0,27.896961494291936,2.2692022599508257,0.7909971331207823,0.19411524
kumar,lle,25,0,10.128373518433762,3.946571830893173,0.4538897497102267,0.034624495
kumar,lle,100,0,2.4685766615365883,8.215480654933796,0.2347022032038961,0.0055021234
kumar,lle,5,0,115.65043102074584,1.1226680686970854,1.4094837083576828,0.5158932
kumar,lle,50,0,5.006324819533692,5.719355327070583,0.3253588377562954,0.0004979866
kumar,lle,5,1,38.88259401757431,2.394945526745785,0.7234074932892846,0.23159087
kumar,lle,10,1,26.179027170940994,2.2400892069361515,0.8018601670009978,0.17520294
kumar,lle,25,1,9.638955173791025,3.899509949270076,0.446737369633328,0.054421533
kumar,lle,50,1,4.110058197382025,6.2175502633408355,0.2955836810252034,0.016207363
kumar,lle,100,1,2.1366765696794636,8.639860211802125,0.21785499096823874,-0.003970271
kumar,spectral,10,0,26.49061550585763,2.4468623544681907,0.7344749112555761,0.17698741
kumar,spectral,25,0,9.249618660984341,4.013651387489967,0.44715138401225,0.050425816
kumar,spectral,100,0,2.4294371886874884,8.218610168078532,0.23171044167404947,0.0046607656
kumar,spectral,5,0,70.05237386796988,1.3940720925629044,1.2614672423056794,0.37304947
kumar,spectral,50,0,4.552292063580376,5.757780162660034,0.3113717832944202,0.01193901
kumar,spectral,5,1,54.15492297819649,1.530290776184992,1.1573887957748532,0.2914484
kumar,spectral,10,1,20.874148646624825,2.509675905905109,0.6564825282014436,0.12398528
kumar,spectral,25,1,7.35618772418463,4.3945005921413545,0.4083872301341405,0.03310236
kumar,spectral,50,1,3.4876317043520384,6.586740062222046,0.278420229228586,0.008734171
kumar,spectral,100,1,1.6536701057857255,9.873940531984347,0.1776803662846742,-0.023826018
kumar,mds,10,0,372.1802247707228,0.6635708337230604,1.5406664620928103,0.5240825
kumar,mds,25,0,368.93369403417904,0.6680942696351927,1.5278388260806768,0.52110726
kumar,mds,100,0,367.9596505581536,0.6696520746437225,1.5241809377407647,0.5200706
kumar,mds,250,0,367.8409224713751,0.6698883064221061,1.5234689845201315,0.5199393
kumar,mds,500,0,367.85314432632356,0.6699195942886376,1.5234598349953234,0.51991683
kumar,mds,1000,0,367.82199033795297,0.6699709705839257,1.523382215571496,0.5198955
kumar,mds,2500,0,367.80491497539975,0.6699733131856874,1.523373371935017,0.5198848
kumar,mds,5000,0,367.7914386739058,0.6699973587002942,1.5233473912222055,0.51987606
kumar,mds,10000,0,367.78825662373123,0.6700078263169112,1.5233389451132464,0.51987326
kumar,mds,15000,0,367.7876977428367,0.6700015373647518,1.5233314988696531,0.51987416
kumar,mds,5,0,381.77797105393523,0.6503992271891689,1.5864301179071125,0.53291345
kumar,mds,50,0,368.2022168001236,0.6692726111787562,1.5247166361310596,0.5203418
kumar,mds,5,1,81.50444373904304,1.6190538266395034,0.919781263238938,0.23717391
kumar,mds,10,1,57.54294818507397,1.960127593296539,0.7513215497150726,0.17337403
kumar,mds,25,1,42.234490623935265,2.4138245725349727,0.5968075631471558,0.11960584
kumar,mds,50,1,37.392385158998444,2.6586806936921827,0.535075119294007,0.100292675
kumar,mds,100,1,35.03132357746056,2.8094923823872797,0.5024514613761099,0.09060995
kumar,mds,250,1,33.89285766055223,2.893403156976259,0.4857947293888943,0.08584596
kumar,mds,500,1,33.7038826540648,2.9077719195777956,0.48303617585246444,0.08506245
kumar,mds,1000,1,33.64282637095303,2.912391607878298,0.4821553340230169,0.0848124
kumar,mds,2500,1,33.615640275816936,2.914436347390929,0.4817642174175288,0.084701814
kumar,mds,5000,1,33.60757946326605,2.915020922417082,0.4816539270271508,0.084669344
kumar,mds,10000,1,33.60390291931844,2.915321889223074,0.4815960467046004,0.08465364
kumar,mds,15000,1,33.602576943639114,2.915416716965135,0.4815778126937778,0.084648184
kumar,fa,10,0,28.87511624380664,2.158776895663769,0.5463204753518609,0.26775312
kumar,fa,25,0,10.127076552754437,3.7704231082782402,0.30179986107855555,0.1380443
kumar,fa,100,0,2.448026139667627,8.6377661169369,0.14979634891953245,0.051582515
kumar,fa,250,0,0.999999956871436,12.980783877448365,0.15142797129938854,-3.7751665e-08
kumar,fa,500,0,1.000000067842685,12.98078314553702,0.15142797997234986,-3.111017e-08
kumar,fa,1000,0,0.9999999757704696,12.980783876634169,0.15142797547023312,-2.5866882e-08
kumar,fa,2500,0,0.9999998538959317,12.980782969133202,0.1514279882820285,-4.579137e-08
kumar,fa,5000,0,0.9999999595366842,12.980783772625514,0.1514279733263528,-3.8450775e-08
kumar,fa,10000,0,1.0000001216322425,12.980782935030183,0.1514279840599642,-3.7402113e-08
kumar,fa,15000,0,0.9999998960922107,12.98078370212034,0.1514279792152288,-3.390659e-08
kumar,fa,5,0,75.33975437464626,1.1755231426074084,1.134974466612056,0.43735844
kumar,fa,50,0,4.872679704159117,5.551349942718377,0.19093949155578668,0.12791574
kumar,fa,5,1,79.22586314622848,1.1150839572029712,1.4110429804007973,0.42978153
kumar,fa,10,1,30.000402889068184,2.2355796728959345,0.6433595254487093,0.17971681
kumar,fa,25,1,10.467727247074718,4.065071138487305,0.3276507876280568,0.074261986
kumar,fa,50,1,5.030799166240327,6.019360301187451,0.22029189223005982,0.046430174
kumar,fa,100,1,2.4698127034409074,8.736105606962896,0.160494633140477,0.04585261
kumar,fa,250,1,0.9999999367609257,12.980783569669244,0.15142797500942043,-4.124719e-08
kumar,fa,500,1,0.9999999367609257,12.980783569669244,0.15142797500942043,-4.124719e-08
kumar,fa,1000,1,0.9999999367609257,12.980783569669244,0.15142797500942043,-4.124719e-08
kumar,fa,2500,1,0.9999999367609257,12.980783569669244,0.15142797500942043,-4.124719e-08
kumar,fa,5000,1,0.9999999367609257,12.980783569669244,0.15142797500942043,-4.124719e-08
kumar,fa,10000,1,0.9999999367609257,12.980783569669244,0.15142797500942043,-4.124719e-08
kumar,fa,15000,1,0.9999999367609257,12.980783569669244,0.15142797500942043,-4.124719e-08
kumar,fica,10,0,27.436777194253207,2.4130858802223845,0.5290326896991107,0.16867936
kumar,fica,25,0,10.015246827875028,4.121483983395783,0.2914576897432241,0.08050719
kumar,fica,100,0,2.4527082523041117,8.764775904878036,0.15310186277982912,-0.01409079
kumar,fica,250,0,4.560831448462457,9.107156950524354,0.18436372967404926,0.007716948
kumar,fica,500,0,4.560831230871193,9.107156927687411,0.18436373029381706,0.0077169472
kumar,fica,1000,0,4.560830991710495,9.107156955092238,0.18436374866199792,0.007716942
kumar,fica,2500,0,4.560831260108116,9.107157053023604,0.18436372709782756,0.0077169538
kumar,fica,5000,0,4.560831286317014,9.10715705524637,0.18436372706184093,0.0077169486
kumar,fica,10000,0,1.569915021177114,11.474934668555624,0.1661809786903783,0.0012848949
kumar,fica,15000,0,4.560830880818875,9.107157057067864,0.18436372704653808,0.0077169435
kumar,fica,5,0,67.96939157093792,1.4120306626757249,0.9336487286195261,0.33254024
kumar,fica,50,0,4.87820460905373,6.033927866729723,0.19444279580970789,0.029480817
kumar,fica,5,1,79.2977259160963,1.3675973553528757,0.9992751219141335,0.37330747
kumar,fica,10,1,29.965562620784468,2.300569216745014,0.5767639169314513,0.19546726
kumar,fica,25,1,10.461057978775209,3.9444572207597766,0.3111170871960518,0.09665936
kumar,fica,50,1,5.020583493986131,5.844051762915147,0.20581915804869239,0.05594811
kumar,fica,100,1,2.4695953499276895,8.633525148458292,0.15591343991237386,0.062658235
kumar,fica,250,1,1.0046390851134217,12.954423897196635,0.15154926722066514,-8.6157315e-06
kumar,fica,500,1,1.0091011684799456,12.953918905286733,0.15158457118310295,1.753086e-06
kumar,fica,1000,1,1.0026633532973406,12.973152719707372,0.1514463166692522,-5.9095883e-06
kumar,fica,2500,1,1.009101200156796,12.953919391998147,0.15158456898607472,1.7554844e-06
kumar,fica,5000,1,1.0091011754461727,12.953919071596326,0.1515845701202703,1.7654197e-06
kumar,fica,10000,1,1.009101200156796,12.95391916906848,0.15158456731253125,1.7551417e-06
