Dataset,Method,Dimensions,realM,realS,userM,userS,sysM,sysS
campbell,lle,150,80,29.458,752,27.437,9,44.361
campbell,spectral,150,80,56.886,819,49.870,1,36.662
campbell,fa,150,24,24.220,147,49.824,14,7.855
campbell,fica,150,40,42.130,357,7.458,4,52.026
campbell,nmf,150,34,42.141,218,2.930,30,0.199
campbell,lda,150,125,47.914,620,14.132,738,37.502
campbell,isomap,250,85,9.651,758,26.035,13,1.568
campbell,lle,250,78,7.803,749,12.697,13,18.439
campbell,spectral,250,81,26.741,821,35.648,2,35.896
campbell,mds,250,11,54.120,23,17.954,2,30.982
campbell,fa,250,37,30.492,285,32.109,21,3.837
campbell,fica,250,41,15.208,357,4.158,7,8.999
campbell,nmf,250,50,56.355,308,32.680,29,9.044
campbell,lda,250,172,26.270,841,8.846,1042,21.049
campbell,mctsne,250,22,59.386,134,25.134,2,16.886
campbell,umap,175,105,16.413,106,18.669,1,3.173
campbell,pca,175,10,32.036,14,9.448,3,20.432
campbell,isomap,175,95,32.257,780,53.714,41,19.086
campbell,spectral,175,81,14.132,820,38.339,1,20.175
campbell,fa,175,32,10.352,214,21.004,18,14.412
campbell,mds,175,14,54.528,26,24.148,3,41.152
campbell,nmf,175,39,36.903,238,42.378,30,53.416
campbell,fica,175,70,2.953,283,36.690,3,34.891
chen,umap,2,57,59.501,56,35.984,0,30.912
chen,pca,2,5,18.609,5,8.177,0,25.078
chen,isomap,2,29,52.995,233,53.417,1,15.796
chen,lle,2,27,33.095,231,26.055,0,34.578
chen,spectral,2,34,15.713,325,31.741,0,43.082
chen,mds,2,60,5.736,205,10.275,71,0.577
chen,fa,2,8,5.904,8,0.073,1,24.775
chen,fica,2,14,8.105,105,54.192,0,28.788
chen,nmf,2,6,19.531,6,15.520,0,27.831
chen,lda,2,17,32.653,23,47.448,38,32.719
chen,mctsne,2,11,36.091,63,15.472,0,38.821
chen,umap,3,58,19.466,57,7.764,0,30.921
chen,pca,3,5,26.731,5,16.101,0,25.290
chen,isomap,3,30,22.909,234,10.540,1,18.659
chen,lle,3,28,28.690,230,46.793,0,36.005
chen,spectral,3,34,21.810,326,0.520,0,56.254
chen,mds,3,69,55.228,212,19.885,80,52.550
chen,fa,3,7,38.997,7,27.769,1,18.260
chen,fica,3,14,26.435,107,19.949,0,28.630
chen,nmf,3,6,5.586,6,1.320,0,27.763
chen,lda,3,20,40.335,39,7.858,114,24.321
chen,mctsne,3,12,20.745,66,13.044,0,33.609
chen,umap,4,58,6.761,56,53.564,0,31.421
chen,pca,4,5,27.402,5,14.473,0,27.205
chen,isomap,4,31,17.938,233,19.772,1,26.357
chen,lle,4,28,37.613,230,56.074,0,36.625
chen,spectral,4,34,28.993,324,53.278,0,55.763
chen,mds,4,51,5.756,101,41.327,33,23.706
chen,fa,4,7,41.251,7,34.524,1,13.796
chen,fica,4,14,18.374,106,22.144,0,30.026
chen,nmf,4,6,32.294,6,29.092,0,27.665
chen,lda,4,18,24.460,39,47.728,120,24.923
chen,mctsne,4,14,22.459,72,19.834,1,10.376
chen,umap,5,74,54.401,73,19.383,0,48.845
chen,pca,5,5,32.186,5,20.288,0,25.378
chen,isomap,5,31,54.289,233,36.191,1,21.631
chen,lle,5,29,12.189,231,12.159,0,34.792
chen,spectral,5,34,3.139,325,49.052,0,50.676
chen,mds,5,52,49.146,154,17.043,43,53.548
chen,fa,5,7,53.071,7,49.131,1,21.195
chen,fica,5,14,35.729,108,11.321,0,28.954
chen,nmf,5,6,34.593,6,31.089,0,27.965
chen,lda,5,19,20.261,43,19.684,125,21.672
chen,mctsne,5,17,54.285,86,16.610,1,31.114
chen,umap,8,57,54.194,56,22.073,0,31.388
chen,pca,8,5,26.520,5,15.822,0,25.108
chen,isomap,8,30,24.596,233,19.974,1,33.664
chen,lle,8,27,51.358,231,25.946,0,37.481
chen,spectral,8,34,10.191,325,46.846,0,46.416
chen,mds,8,57,45.615,207,55.031,63,20.137
chen,fa,8,9,21.356,9,22.251,1,47.152
chen,fica,8,14,28.529,108,18.340,0,31.835
chen,nmf,8,6,55.812,6,49.313,0,31.144
chen,lda,8,19,41.053,53,10.136,123,31.668
chen,mctsne,8,65,57.670,329,55.146,12,43.477
chen,umap,10,59,54.123,56,42.455,0,29.758
chen,pca,10,5,41.341,5,29.370,0,25.666
chen,isomap,10,35,52.984,270,7.072,3,41.032
chen,lle,10,32,1.436,268,1.876,3,21.789
chen,spectral,10,34,11.830,326,15.056,0,46.765
chen,mds,10,70,30.184,218,50.404,85,8.180
chen,fa,10,15,24.505,15,31.317,4,0.750
chen,fica,10,14,30.769,108,1.854,0,36.508
chen,nmf,10,7,7.730,7,4.953,0,27.973
chen,lda,10,20,49.015,52,3.830,134,54.246
chen,mctsne,10,263,40.075,1519,39.768,71,59.913
chen,umap,15,57,52.193,56,26.527,0,30.501
chen,pca,15,5,52.269,5,36.506,0,30.184
chen,isomap,15,33,29.384,269,51.302,3,51.000
chen,lle,15,31,8.078,268,17.358,3,13.821
chen,spectral,15,34,29.488,325,48.644,0,52.732
chen,mds,15,57,39.799,214,10.598,60,31.811
chen,fa,15,12,30.993,12,34.331,2,34.201
chen,fica,15,14,7.434,106,21.611,0,27.484
chen,nmf,15,9,24.393,9,16.273,0,33.260
chen,lda,15,21,3.204,54,8.663,136,33.574
chen,mctsne,15,363,3.516,3755,33.496,47,4.661
chen,umap,25,58,33.184,57,11.344,0,33.105
chen,pca,25,5,33.565,5,23.394,0,24.875
chen,isomap,25,33,5.171,269,44.064,3,34.235
chen,lle,25,30,45.011,267,20.221,3,28.303
chen,spectral,25,34,22.549,327,13.557,0,42.746
chen,mds,25,64,34.308,220,57.715,82,53.883
chen,fa,25,15,18.241,15,31.387,2,46.945
chen,fica,25,14,19.817,107,44.491,0,32.628
chen,nmf,25,19,51.533,19,45.099,0,31.912
chen,lda,25,24,53.072,76,18.814,158,44.233
chen,mctsne,25,1801,36.695,3005,27.455,450,23.118
chen,umap,30,57,58.381,56,18.784,0,32.788
chen,pca,30,5,47.706,5,34.077,0,28.551
chen,isomap,30,33,50.496,269,16.501,4,16.339
chen,lle,30,31,1.720,266,18.636,3,27.635
chen,spectral,30,34,59.737,328,38.619,1,3.783
chen,mds,30,59,16.083,225,16.067,58,51.866
chen,fa,30,13,40.976,13,53.392,2,12.336
chen,fica,30,14,26.869,108,22.734,0,34.002
chen,nmf,30,21,52.002,21,46.213,0,31.742
chen,lda,30,25,7.244,73,21.310,163,25.742
chen,mctsne,30,11,13.079,58,59.264,0,57.876
chen,umap,35,58,0.359,56,50.550,0,29.746
chen,pca,35,5,31.685,5,22.057,0,24.861
chen,isomap,35,35,5.554,275,33.314,5,5.973
chen,lle,35,31,22.824,266,5.378,3,28.962
chen,spectral,35,34,39.307,327,16.252,1,9.213
chen,mds,35,76,29.783,243,13.401,88,9.125
chen,fa,35,14,59.382,15,13.903,2,19.184
chen,fica,35,15,24.366,117,16.064,0,48.732
chen,nmf,35,23,50.161,23,40.409,0,32.894
chen,lda,35,26,36.322,78,2.992,175,1.613
chen,mctsne,35,13,45.963,68,1.389,0,39.376
chen,umap,40,58,48.414,56,56.596,0,30.545
chen,pca,40,5,17.202,6,37.990,0,36.724
chen,isomap,40,33,30.564,268,17.278,4,22.194
chen,lle,40,31,21.617,268,28.514,3,53.911
chen,spectral,40,34,39.296,326,58.913,0,45.591
chen,mds,40,66,34.273,234,13.558,76,12.088
chen,fa,40,10,49.762,53,6.053,8,1.420
chen,fica,40,14,39.243,108,1.526,0,42.107
chen,nmf,40,25,15.028,28,6.999,1,3.717
chen,lda,40,27,33.213,82,45.983,182,35.936
chen,mctsne,40,14,19.499,68,51.448,0,39.949
chen,umap,45,57,25.105,56,14.641,0,29.885
chen,pca,45,5,17.749,6,39.010,0,32.215
chen,isomap,45,36,0.698,269,57.474,3,51.507
chen,lle,45,32,1.876,267,9.842,4,5.956
chen,spectral,45,34,47.340,328,1.063,0,47.148
chen,mds,45,73,42.737,245,4.726,92,17.822
chen,fa,45,11,41.618,59,9.857,9,47.944
chen,fica,45,14,31.929,108,50.050,0,57.605
chen,nmf,45,27,14.232,30,12.648,1,4.916
chen,lda,45,41,57.233,200,2.991,237,42.990
chen,mctsne,45,61,25.920,133,10.340,0,46.877
chen,umap,50,68,7.612,66,12.301,0,39.610
chen,pca,50,5,18.452,6,50.184,0,32.505
chen,isomap,50,33,33.202,268,55.083,3,57.803
chen,lle,50,30,44.893,266,7.669,3,16.774
chen,spectral,50,34,53.526,328,11.629,0,51.036
chen,mds,50,83,51.423,394,6.341,198,51.817
chen,fa,50,14,33.344,87,3.556,12,3.588
chen,fica,50,14,13.896,106,55.083,0,49.631
chen,nmf,50,13,40.473,92,18.965,13,39.886
chen,lda,50,41,39.088,198,8.555,234,39.997
chen,mctsne,50,3903,45.807,5237,17.866,72,30.371
chen,umap,60,59,25.504,57,7.925,0,30.135
chen,pca,60,5,21.996,7,0.354,0,31.603
chen,isomap,60,33,56.695,269,52.472,3,54.803
chen,lle,60,31,12.283,267,29.513,3,51.710
chen,spectral,60,34,52.076,326,53.699,0,47.257
chen,mds,60,72,27.626,397,29.525,167,47.920
chen,fa,60,13,50.975,81,7.111,9,57.695
chen,fica,60,14,34.254,107,18.723,1,0.106
chen,nmf,60,14,26.325,96,25.524,14,17.524
chen,lda,60,43,50.592,204,25.282,251,6.853
chen,mctsne,60,11,37.514,59,9.745,1,8.467
chen,umap,70,58,59.991,57,39.367,0,30.466
chen,pca,70,5,41.854,7,7.966,0,37.645
chen,isomap,70,33,51.820,269,45.117,3,55.725
chen,lle,70,30,59.151,267,18.788,3,30.792
chen,spectral,70,35,18.972,330,15.038,0,52.663
chen,mds,70,76,45.321,401,2.855,177,45.522
chen,fa,70,10,32.318,49,0.902,7,14.490
chen,fica,70,14,19.864,106,23.981,1,9.142
chen,nmf,70,15,9.277,105,5.550,14,40.311
chen,lda,70,43,6.148,193,41.814,250,4.657
chen,mctsne,70,12,42.491,72,3.270,0,40.921
chen,umap,80,75,50.433,74,37.859,0,46.131
chen,pca,80,5,20.166,7,12.581,0,31.643
chen,isomap,80,33,8.727,267,20.334,4,2.253
chen,lle,80,30,59.710,267,43.072,3,49.836
chen,spectral,80,35,24.246,329,37.679,0,46.568
chen,mds,80,72,9.320,416,55.400,165,33.685
chen,fa,80,14,59.407,91,54.542,12,11.992
chen,fica,80,14,17.611,108,22.232,1,5.994
chen,nmf,80,15,46.697,107,22.982,15,28.988
chen,lda,80,49,11.523,210,0.415,305,54.639
chen,mctsne,80,1054,35.577,1248,51.666,2,30.141
chen,umap,90,57,23.312,56,24.044,0,30.954
chen,pca,90,5,22.165,6,56.687,0,36.017
chen,isomap,90,33,30.899,269,1.388,4,18.282
chen,lle,90,31,56.319,284,5.326,3,31.342
chen,spectral,90,35,20.549,331,12.217,0,42.157
chen,mds,90,81,57.796,430,48.054,190,41.343
chen,fa,90,12,36.393,68,48.914,10,1.335
chen,fica,90,14,26.273,108,24.010,1,35.756
chen,nmf,90,17,4.332,115,5.270,16,2.688
chen,lda,90,53,58.849,244,32.064,330,24.066
chen,mctsne,90,11,18.160,59,16.339,1,11.256
chen,umap,100,58,7.101,57,20.024,0,31.974
chen,pca,100,5,27.423,7,17.081,0,35.797
chen,isomap,100,33,17.071,269,56.692,4,0.653
chen,lle,100,30,43.128,266,57.990,3,41.453
chen,spectral,100,35,57.627,330,38.494,0,44.986
chen,mds,100,73,45.926,437,10.384,160,14.361
chen,fa,100,13,58.215,81,23.013,9,49.286
chen,fica,100,15,0.035,111,2.532,1,52.636
chen,nmf,100,17,24.547,114,16.225,17,14.389
chen,lda,100,57,36.276,287,44.589,327,47.588
chen,mctsne,100,12,53.754,76,10.419,0,43.040
chen,umap,125,58,28.869,57,14.374,0,31.108
chen,pca,125,5,38.373,7,41.600,0,37.567
chen,isomap,125,33,43.063,269,28.811,4,28.453
chen,lle,125,32,29.837,267,16.936,4,24.975
chen,spectral,125,36,5.627,331,56.575,0,47.924
chen,mds,125,95,18.342,505,26.963,225,44.087
chen,fa,125,15,33.884,95,33.078,11,21.618
chen,fica,125,14,25.685,107,38.819,2,17.408
chen,nmf,125,19,43.678,126,24.859,19,35.143
chen,lda,125,67,10.554,347,31.938,379,44.754
chen,mctsne,125,11,18.575,59,11.042,1,8.319
chen,umap,150,58,40.276,58,43.408,0,30.754
chen,pca,150,5,25.894,7,24.811,0,33.915
chen,isomap,150,33,53.472,268,50.702,4,25.049
chen,lle,150,30,47.602,268,2.041,3,50.184
chen,spectral,150,36,49.138,334,51.381,0,48.594
chen,mds,150,89,56.098,495,12.101,214,51.655
chen,fa,150,14,47.004,92,14.618,10,12.365
chen,fica,150,14,47.840,107,34.258,2,29.291
chen,nmf,150,22,10.120,133,29.850,22,37.648
chen,lda,150,70,11.154,337,40.463,421,32.167
chen,umap,250,63,4.243,65,10.773,0,41.842
chen,pca,250,5,41.424,8,24.443,0,40.183
chen,isomap,250,33,50.807,270,8.994,5,4.901
chen,lle,250,31,9.118,267,15.560,5,7.956
chen,spectral,250,39,20.565,347,3.227,0,51.803
chen,mds,250,96,57.281,597,19.181,223,24.385
chen,fa,250,18,31.573,135,9.950,11,23.706
chen,fica,250,15,21.037,110,44.395,4,37.505
chen,nmf,250,34,25.118,194,36.331,20,56.064
chen,lda,250,99,32.697,476,40.503,616,5.213
chen,mctsne,250,11,15.467,59,3.216,1,3.817
chen,pca,175,10,38.722,12,7.517,2,17.047
chen,isomap,175,38,28.543,273,53.455,16,35.412
chen,lle,175,31,52.774,267,59.717,4,6.257
chen,spectral,175,37,33.718,338,10.186,0,56.221
macosko,umap,2,611,30.140,600,32.541,11,32.610
macosko,pca,2,23,21.140,22,3.724,1,31.562
macosko,isomap,2,298,32.763,2735,17.495,18,28.365
macosko,lle,2,279,36.811,2789,14.238,26,25.239
macosko,spectral,2,303,26.298,3148,24.372,15,25.266
macosko,mds,2,27,23.630,61,19.471,2,53.740
macosko,fa,2,32,6.465,30,27.783,2,59.634
macosko,fica,2,22,43.507,21,32.717,1,7.701
macosko,nmf,2,26,46.624,25,56.619,1,31.985
macosko,lda,2,48,39.001,50,6.509,19,6.154
macosko,mctsne,2,140,32.571,1315,18.104,5,49.920
macosko,umap,3,630,8.933,615,48.428,12,39.789
macosko,pca,3,23,53.039,22,45.136,1,21.711
macosko,isomap,3,299,51.675,2735,18.754,13,57.686
macosko,lle,3,278,37.413,2782,36.048,19,49.280
macosko,spectral,3,303,16.308,3136,39.796,13,7.507
macosko,fa,3,27,48.360,26,14.794,2,18.653
macosko,fica,3,22,30.638,21,15.081,1,14.517
macosko,nmf,3,28,35.513,27,36.942,1,40.769
macosko,lda,3,60,15.838,73,26.091,95,5.286
macosko,mctsne,3,144,47.615,1337,56.237,12,8.103
macosko,umap,4,626,15.865,614,34.192,12,7.925
macosko,pca,4,23,21.571,22,6.643,1,29.012
macosko,isomap,4,290,55.822,2722,27.973,5,41.916
macosko,lle,4,277,54.934,2794,10.572,17,56.429
macosko,spectral,4,301,26.164,3131,17.281,10,42.514
macosko,mds,4,27,19.509,61,40.499,2,36.515
macosko,fa,4,31,3.349,29,37.270,2,40.861
macosko,fica,4,22,18.791,21,5.066,1,12.624
macosko,nmf,4,38,46.211,37,40.854,1,46.089
macosko,lda,4,68,29.757,100,31.328,202,31.339
macosko,mctsne,4,148,19.531,1361,26.524,5,18.415
macosko,umap,5,688,12.188,675,22.118,13,22.643
macosko,pca,5,24,41.986,23,22.317,1,34.297
macosko,isomap,5,297,50.661,2722,50.838,18,30.962
macosko,lle,5,277,44.283,2800,46.111,15,5.478
macosko,spectral,5,301,45.203,3121,34.663,17,15.307
macosko,fa,5,31,59.816,30,26.067,2,45.199
macosko,fica,5,23,56.993,22,48.383,1,7.159
macosko,nmf,5,31,37.394,30,30.700,1,46.336
macosko,lda,5,70,2.471,116,28.036,290,32.466
macosko,mctsne,5,158,35.751,1403,4.121,6,46.559
macosko,umap,8,664,43.997,651,37.528,13,40.513
macosko,pca,8,24,2.072,21,51.820,1,27.551
macosko,isomap,8,299,39.057,2724,2.279,20,22.635
macosko,lle,8,278,28.821,2783,14.900,24,34.338
macosko,spectral,8,302,27.004,3131,6.101,14,17.940
macosko,mds,8,28,3.185,62,49.870,3,15.278
macosko,fa,8,34,39.412,33,4.108,3,3.829
macosko,fica,8,22,31.824,21,13.375,1,14.742
macosko,nmf,8,39,19.014,38,10.624,1,50.816
macosko,lda,8,60,52.152,121,27.690,341,18.284
macosko,mctsne,8,379,59.605,3059,31.125,81,43.338
macosko,umap,10,638,44.976,625,58.572,13,15.195
macosko,pca,10,24,6.625,22,22.126,1,38.354
macosko,isomap,10,290,51.248,2719,49.877,8,29.361
macosko,lle,10,355,26.860,3699,25.839,65,50.635
macosko,spectral,10,301,31.906,3129,6.878,10,53.476
macosko,fa,10,34,34.639,32,50.735,3,7.572
macosko,fica,10,22,6.814,20,54.857,1,11.341
macosko,nmf,10,38,2.802,36,37.724,1,53.859
macosko,lda,10,61,10.996,120,14.649,341,43.505
macosko,mctsne,10,1505,36.156,12785,56.126,383,45.217
macosko,umap,15,709,41.410,696,9.315,14,25.986
macosko,pca,15,27,14.905,22,34.447,1,31.500
macosko,isomap,15,299,24.590,2733,23.192,14,37.357
macosko,lle,15,349,35.751,3704,39.944,49,3.136
macosko,spectral,15,300,50.303,3131,42.311,11,15.253
macosko,mds,15,27,47.596,61,43.231,3,2.005
macosko,fa,15,35,2.997,33,35.128,2,52.946
macosko,fica,15,22,42.192,21,28.850,1,12.806
macosko,nmf,15,57,39.416,56,28.480,1,53.370
macosko,lda,15,62,51.775,131,19.232,366,32.352
macosko,mctsne,15,137,54.880,1301,49.815,13,31.959
macosko,umap,25,453,47.080,447,53.464,6,59.699
macosko,pca,25,24,40.190,22,52.392,1,40.999
macosko,isomap,25,299,7.586,2719,8.083,15,30.735
macosko,lle,25,353,39.614,3685,51.755,66,50.420
macosko,spectral,25,301,52.116,3130,7.632,11,10.311
macosko,fa,25,50,29.520,48,58.873,4,7.681
macosko,fica,25,21,49.594,20,47.245,1,1.993
macosko,nmf,25,70,32.460,69,15.639,2,0.633
macosko,lda,25,70,0.927,162,56.136,412,20.875
macosko,mctsne,25,196,50.939,1356,36.309,8,25.309
macosko,umap,30,624,7.539,612,24.980,12,5.506
macosko,pca,30,24,3.134,22,43.193,1,33.432
macosko,isomap,30,299,19.922,2735,48.314,13,52.511
macosko,lle,30,385,52.791,4133,30.986,65,46.825
macosko,spectral,30,299,53.830,3131,21.614,12,48.489
macosko,mds,30,29,0.530,62,38.625,3,3.964
macosko,fa,30,68,13.777,66,46.360,5,49.475
macosko,fica,30,22,41.729,21,23.708,1,17.487
macosko,nmf,30,71,54.867,70,32.489,2,7.025
macosko,lda,30,70,6.731,165,14.712,412,10.384
macosko,mctsne,30,137,32.802,1300,25.168,12,40.945
macosko,umap,35,679,53.207,666,45.853,13,33.248
macosko,pca,35,24,3.573,22,43.090,1,31.206
macosko,isomap,35,300,15.155,2729,36.542,19,6.478
macosko,lle,35,364,20.036,3801,13.812,87,9.958
macosko,spectral,35,301,44.883,3134,49.794,11,50.847
macosko,fa,35,54,6.428,52,37.989,4,22.021
macosko,fica,35,23,1.660,21,37.412,1,5.699
macosko,nmf,35,81,35.445,79,51.117,2,29.375
macosko,lda,35,73,44.592,181,12.607,437,1.133
macosko,mctsne,35,147,51.792,1330,22.996,5,18.607
macosko,umap,40,628,17.093,616,29.828,12,47.520
macosko,pca,40,24,26.264,27,21.555,3,1.143
macosko,isomap,40,291,1.386,2717,7.209,6,0.879
macosko,lle,40,384,57.377,4008,30.602,111,37.387
macosko,spectral,40,300,55.956,3124,55.225,15,6.416
macosko,fa,40,40,53.621,168,31.360,28,17.735
macosko,fica,40,23,53.456,22,25.311,1,27.412
macosko,nmf,40,89,39.378,97,3.902,5,30.658
macosko,lda,40,75,33.334,190,31.558,455,26.801
macosko,mctsne,40,151,21.534,1332,10.284,15,2.655
macosko,umap,45,673,14.464,653,30.486,14,8.195
macosko,pca,45,23,38.971,26,4.709,2,33.819
macosko,isomap,45,298,4.633,2725,42.381,11,56.745
macosko,lle,45,367,26.924,3694,46.433,83,38.887
macosko,spectral,45,302,30.528,3136,16.802,5,44.694
macosko,fa,45,37,9.730,143,7.624,20,41.893
macosko,fica,45,22,35.446,21,15.863,1,16.989
macosko,nmf,45,91,4.569,99,14.367,4,17.990
macosko,lda,45,97,14.430,351,11.398,544,31.388
macosko,mctsne,45,153,48.785,1344,39.201,11,35.332
macosko,umap,50,684,37.867,667,7.780,14,16.528
macosko,pca,50,23,39.899,27,37.555,2,32.711
macosko,isomap,50,292,40.344,2716,44.102,9,3.519
macosko,lle,50,353,6.346,3678,57.090,68,11.667
macosko,spectral,50,301,2.437,3125,13.014,15,14.831
macosko,mds,50,27,47.133,62,0.028,3,8.681
macosko,fa,50,37,52.862,148,10.079,28,10.210
macosko,fica,50,22,16.920,21,7.929,1,8.802
macosko,nmf,50,50,25.642,312,23.389,34,19.797
macosko,lda,50,90,56.306,307,30.861,511,3.387
macosko,mctsne,50,165,35.920,1354,27.677,4,52.863
macosko,umap,60,725,40.197,712,45.744,14,19.708
macosko,pca,60,23,6.032,27,25.778,2,12.327
macosko,isomap,60,296,43.131,2722,47.426,11,5.436
macosko,lle,60,375,22.551,3896,51.696,100,49.759
macosko,spectral,60,301,38.629,3135,8.710,12,3.345
macosko,fa,60,48,1.320,236,44.502,34,40.767
macosko,fica,60,23,16.428,21,57.727,1,13.754
macosko,nmf,60,54,9.797,351,49.216,40,43.515
macosko,lda,60,97,9.091,341,7.729,554,35.737
macosko,mctsne,60,136,41.563,1300,42.091,6,1.493
macosko,umap,70,629,28.094,618,29.327,12,26.135
macosko,pca,70,24,21.664,28,26.706,2,27.962
macosko,isomap,70,292,37.234,2727,42.856,6,52.754
macosko,lle,70,352,10.008,3693,23.566,64,33.181
macosko,spectral,70,301,5.890,3129,55.552,10,23.651
macosko,mds,70,29,41.045,62,30.917,3,28.841
macosko,fa,70,43,57.497,207,22.287,26,9.634
macosko,fica,70,22,58.471,21,44.777,1,9.800
macosko,nmf,70,57,17.193,388,11.869,31,18.668
macosko,lda,70,97,35.853,325,40.032,569,15.361
macosko,mctsne,70,145,12.983,1348,21.344,5,15.715
macosko,umap,80,633,13.695,622,27.054,12,32.160
macosko,pca,80,24,32.820,28,58.179,2,33.719
macosko,isomap,80,299,43.439,2725,33.586,19,3.254
macosko,lle,80,351,37.129,3695,25.857,63,7.422
macosko,spectral,80,300,19.179,3128,18.338,8,35.042
macosko,fa,80,45,31.503,210,56.239,30,45.300
macosko,fica,80,22,7.994,20,49.354,1,18.005
macosko,nmf,80,55,3.243,334,29.793,47,28.087
macosko,lda,80,111,13.855,380,49.315,644,21.028
macosko,mctsne,80,3549,7.223,5198,28.756,39,15.199
macosko,umap,90,654,20.525,643,57.202,13,6.526
macosko,pca,90,23,47.863,28,7.166,2,10.389
macosko,isomap,90,299,22.218,2724,43.010,12,49.345
macosko,lle,90,354,11.559,3731,4.410,66,57.250
macosko,spectral,90,301,0.365,3135,32.272,5,23.837
macosko,fa,90,44,24.175,213,49.230,28,31.086
macosko,fica,90,22,19.223,21,2.400,1,10.802
macosko,nmf,90,58,31.751,376,8.476,41,42.859
macosko,lda,90,115,26.887,427,49.791,679,11.918
macosko,mctsne,90,136,18.171,1299,50.655,5,53.485
macosko,umap,100,687,52.193,676,35.958,14,1.834
macosko,pca,100,25,11.590,28,18.893,2,33.790
macosko,isomap,100,298,25.536,2725,12.684,12,23.511
macosko,lle,100,358,56.064,3730,37.573,74,35.247
macosko,spectral,100,300,50.151,3135,47.114,12,49.285
macosko,fa,100,50,26.124,250,41.176,42,32.616
macosko,fica,100,23,16.510,21,53.053,1,22.983
macosko,nmf,100,58,55.459,347,47.280,47,56.137
macosko,lda,100,120,22.675,444,31.391,724,42.101
macosko,mctsne,100,146,58.661,1366,36.695,5,33.235
macosko,umap,125,720,52.260,709,3.135,13,58.306
macosko,pca,125,23,34.394,29,12.770,2,23.819
macosko,isomap,125,291,1.093,2727,39.622,9,13.376
macosko,lle,125,350,25.493,3694,36.276,60,45.732
macosko,spectral,125,309,51.466,3137,2.047,19,35.886
macosko,mds,125,27,52.546,62,17.600,2,47.780
macosko,fa,125,46,49.915,246,54.860,23,17.278
macosko,fica,125,22,18.539,21,2.324,1,15.469
macosko,nmf,125,63,8.543,387,20.132,47,24.920
